episode,epsilon,total_reward,steps,success,wall_hits,penalty_entries,key_obtained,energy_left,end_event
0,1.0,-106.0,50,0,9,0,0,0,ENERGY_DEPLETED
1,0.9999,-114.0,50,0,11,0,0,0,ENERGY_DEPLETED
2,0.9999,-110.0,50,0,9,0,0,0,ENERGY_DEPLETED
3,0.9998,-118.0,50,0,12,0,0,0,ENERGY_DEPLETED
4,0.9998,-126.0,50,0,14,0,0,0,ENERGY_DEPLETED
5,0.9997,-122.0,50,0,12,0,0,0,ENERGY_DEPLETED
6,0.9996,-134.0,50,0,16,0,0,0,ENERGY_DEPLETED
7,0.9996,-130.0,50,0,14,0,0,0,ENERGY_DEPLETED
8,0.9995,-150.0,50,0,19,0,0,0,ENERGY_DEPLETED
9,0.9994,-150.0,50,0,20,0,0,0,ENERGY_DEPLETED
10,0.9994,-52.0,50,0,8,0,1,0,ENERGY_DEPLETED
11,0.9993,-130.0,50,0,15,0,0,0,ENERGY_DEPLETED
12,0.9993,-110.0,50,0,10,0,0,0,ENERGY_DEPLETED
13,0.9992,-126.0,50,0,14,0,0,0,ENERGY_DEPLETED
14,0.9991,-118.0,50,0,12,0,0,0,ENERGY_DEPLETED
15,0.9991,-118.0,50,0,12,0,0,0,ENERGY_DEPLETED
16,0.999,-138.0,50,0,16,0,0,0,ENERGY_DEPLETED
17,0.9989,-134.0,50,0,15,0,0,0,ENERGY_DEPLETED
18,0.9989,-142.0,50,0,17,0,0,0,ENERGY_DEPLETED
19,0.9988,-114.0,50,0,11,0,0,0,ENERGY_DEPLETED
20,0.9988,-162.0,50,0,23,0,0,0,ENERGY_DEPLETED
21,0.9987,-142.0,50,0,17,0,0,0,ENERGY_DEPLETED
22,0.9986,-126.0,50,0,14,0,0,0,ENERGY_DEPLETED
23,0.9986,-146.0,50,0,19,0,0,0,ENERGY_DEPLETED
24,0.9985,-142.0,50,0,17,0,0,0,ENERGY_DEPLETED
25,0.9984,-126.0,50,0,13,0,0,0,ENERGY_DEPLETED
26,0.9984,-110.0,50,0,10,0,0,0,ENERGY_DEPLETED
27,0.9983,-122.0,50,0,13,0,0,0,ENERGY_DEPLETED
28,0.9983,-126.0,50,0,14,0,0,0,ENERGY_DEPLETED
29,0.9982,-134.0,50,0,16,0,0,0,ENERGY_DEPLETED
30,0.9981,-98.0,50,0,7,0,0,0,ENERGY_DEPLETED
31,0.9981,-142.0,50,0,18,0,0,0,ENERGY_DEPLETED
32,0.998,-110.0,50,0,10,0,0,0,ENERGY_DEPLETED
33,0.9979,-110.0,50,0,10,0,0,0,ENERGY_DEPLETED
34,0.9979,-72.0,50,0,12,0,1,0,ENERGY_DEPLETED
35,0.9978,-158.0,50,0,21,0,0,0,ENERGY_DEPLETED
