episode,epsilon,total_reward,steps,success,wall_hits,penalty_entries,key_obtained,energy_left,end_event
0,1.0,-102.0,50,0,8,0,0,0,ENERGY_DEPLETED
1,0.9999,-154.0,50,0,12,3,0,0,ENERGY_DEPLETED
2,0.9999,-123.0,50,0,11,0,0,0,ENERGY_DEPLETED
3,0.9998,-134.0,50,0,16,0,0,0,ENERGY_DEPLETED
4,0.9998,-134.0,50,0,15,0,0,0,ENERGY_DEPLETED
5,0.9997,-146.0,50,0,19,0,0,0,ENERGY_DEPLETED
6,0.9996,-186.0,50,0,28,0,0,0,ENERGY_DEPLETED
7,0.9996,-194.0,50,0,30,0,0,0,ENERGY_DEPLETED
8,0.9995,-198.0,50,0,31,0,0,0,ENERGY_DEPLETED
9,0.9994,-182.0,50,0,28,0,0,0,ENERGY_DEPLETED
10,0.9994,-150.0,50,0,19,0,0,0,ENERGY_DEPLETED
11,0.9993,-142.0,50,0,18,0,0,0,ENERGY_DEPLETED
12,0.9993,-48.0,50,0,7,0,1,0,ENERGY_DEPLETED
13,0.9992,-158.0,50,0,21,0,0,0,ENERGY_DEPLETED
14,0.9991,-66.0,50,0,7,1,1,0,ENERGY_DEPLETED
15,0.9991,-122.0,50,0,13,0,0,0,ENERGY_DEPLETED
16,0.999,-174.0,50,0,25,0,0,0,ENERGY_DEPLETED
17,0.9989,-174.0,50,0,26,0,0,0,ENERGY_DEPLETED
18,0.9989,-134.0,50,0,16,0,0,0,ENERGY_DEPLETED
19,0.9988,-154.0,50,0,20,0,0,0,ENERGY_DEPLETED
20,0.9988,-146.0,50,0,19,0,0,0,ENERGY_DEPLETED
21,0.9987,-150.0,50,0,20,0,0,0,ENERGY_DEPLETED
22,0.9986,-150.0,50,0,20,0,0,0,ENERGY_DEPLETED
23,0.9986,-166.0,50,0,23,0,0,0,ENERGY_DEPLETED
24,0.9985,-146.0,50,0,19,0,0,0,ENERGY_DEPLETED
25,0.9984,-158.0,50,0,22,0,0,0,ENERGY_DEPLETED
26,0.9984,-143.0,50,0,15,1,0,0,ENERGY_DEPLETED
27,0.9983,-126.0,50,0,13,0,0,0,ENERGY_DEPLETED
28,0.9983,-154.0,50,0,21,0,0,0,ENERGY_DEPLETED
29,0.9982,-166.0,50,0,23,0,0,0,ENERGY_DEPLETED
30,0.9981,-142.0,50,0,17,0,0,0,ENERGY_DEPLETED
31,0.9981,-130.0,50,0,15,0,0,0,ENERGY_DEPLETED
32,0.998,-190.0,50,0,30,0,0,0,ENERGY_DEPLETED
33,0.9979,-158.0,50,0,22,0,0,0,ENERGY_DEPLETED
34,0.9979,-162.0,50,0,23,0,0,0,ENERGY_DEPLETED
35,0.9978,-178.0,50,0,27,0,0,0,ENERGY_DEPLETED
36,0.9978,-150.0,50,0,19,0,0,0,ENERGY_DEPLETED
37,0.9977,-154.0,50,0,21,0,0,0,ENERGY_DEPLETED
38,0.9976,-154.0,50,0,20,0,0,0,ENERGY_DEPLETED
39,0.9976,-202.0,50,0,32,0,0,0,ENERGY_DEPLETED
40,0.9975,-118.0,50,0,12,0,0,0,ENERGY_DEPLETED
41,0.9974,-170.0,50,0,25,0,0,0,ENERGY_DEPLETED
42,0.9974,-138.0,50,0,16,0,0,0,ENERGY_DEPLETED
43,0.9973,-178.0,50,0,26,0,0,0,ENERGY_DEPLETED
44,0.9973,-162.0,50,0,22,0,0,0,ENERGY_DEPLETED
45,0.9972,-158.0,50,0,21,0,0,0,ENERGY_DEPLETED
46,0.9971,-170.0,50,0,25,0,0,0,ENERGY_DEPLETED
47,0.9971,-178.0,50,0,27,0,0,0,ENERGY_DEPLETED
48,0.997,-118.0,50,0,12,0,0,0,ENERGY_DEPLETED
49,0.9969,-174.0,50,0,26,0,0,0,ENERGY_DEPLETED
50,0.9969,-178.0,50,0,27,0,0,0,ENERGY_DEPLETED
51,0.9968,-182.0,50,0,28,0,0,0,ENERGY_DEPLETED
52,0.9968,-174.0,50,0,26,0,0,0,ENERGY_DEPLETED
53,0.9967,-126.0,50,0,14,0,0,0,ENERGY_DEPLETED
